"phylum","class","order","spp","genomes","sequences","papers"
"Echinodermata","Echinoidea","Phymosomatoida",3,0,16,0
"Arthropoda","Arachnida","Mesostigmata",1415,3,131483,291
"Hemichordata","Pterobranchia","Rhabdopleurida",7,0,38,0
"Hemichordata","Pterobranchia","Cephalodiscida",5,0,8,0
"Chordata","Mammalia","Carnivora",363,14,2086488,444885
"Chaetognatha","Sagittoidea","Phragmophora",73,0,824,3
"Chaetognatha","Sagittoidea","Aphragmophora",57,0,1290,3
"Brachiopoda","Rhynchonellata","Rhynchonellida",16,0,34,1
"Mollusca","Scaphopoda","Gadilida",11,0,15,0
"Mollusca","Scaphopoda","Dentaliida",20,0,97,0
"Mollusca","Cephalopoda","Nautilida",8,0,767,4
"Chordata","Actinopteri","Clupeiformes",405,1,56845,91
"Echinodermata","Echinoidea","Clypeasteroida",33,0,97700,9157
"Echinodermata","Echinoidea","Temnopleuroida",52,1,360766,2
"Echinodermata","Echinoidea","Arbacoida",12,0,632,1
"Echinodermata","Echinoidea","Diadematoida",36,0,985,3
"Chordata","Actinopteri","Zeiformes",36,0,497,6
"Chordata","Actinopteri","Tetraodontiformes",450,4,176115,1104
"Chordata","Mammalia","Dermoptera",3,1,269547,68
"Chordata","Chondrichthyes","Orectolobiformes",43,1,92303,19
"Chordata","Chondrichthyes","Lamniformes",23,0,1941,29
"Chordata","Chondrichthyes","Hexanchiformes",7,0,198,9
"Chordata","Chondrichthyes","Carcharhiniformes",339,0,9378,90
"Chordata","Aves","Strigiformes",168,1,121902,859
"Chordata","Aves","Procellariiformes",154,1,118782,76
"Chordata","Aves","Podicipediformes",13,1,42032,17
"Chordata","Aves","Opisthocomiformes",1,1,29257,3
"Chordata","Aves","Gaviiformes",5,1,111748,8
"Chordata","Thaliacea","Salpida",24,1,292,3
"Arthropoda","Diplopoda","Spirostreptida",101,0,405,27
"Arthropoda","Diplopoda","Spirobolida",58,0,523,16
"Arthropoda","Insecta","Zoraptera",12,0,10669,25
"Arthropoda","Insecta","Zygentoma",83,0,39526,42
"Arthropoda","Insecta","Trichoptera",10116,1,214575,578
"Arthropoda","Insecta","Thysanoptera",1001,1,57187,642
"Arthropoda","Insecta","Strepsiptera",162,1,99889,95
"Arthropoda","Insecta","Psocoptera",1023,0,11204,166
"Arthropoda","Insecta","Ephemeroptera",2773,2,24763,545
"Arthropoda","Insecta","Archaeognatha",124,0,1565,37
"Arthropoda","Maxillopoda","Cephalobaenida",7,0,27,19
"Arthropoda","Malacostraca","Isopoda",2221,2,3610091,1009
"Chordata","Actinopteri","Gonorynchiformes",27,0,378,11
"Platyhelminthes","Cestoda","Pseudophyllidea",8,0,21,158
"Chordata","Actinopteri","Cyprinodontiformes",1149,14,1927635,3631
"Chordata","Mammalia","Macroscelidea",28,1,304037,40
"Porifera","Demospongiae","Poecilosclerida",327,0,1285,51
"Ctenophora","Tentaculata","Lobata",16,1,5548,574
"Ctenophora","Tentaculata","Cestida",4,0,17,1
"Platyhelminthes",NA,"Rhabdocoela",370,0,821,33
"Platyhelminthes","Trematoda","Plagiorchiida",1362,3,635038,30
"Nematoda","Enoplea","Mermithida",83,1,43504,7
"Arthropoda","Insecta","Dermaptera",146,0,27389,88
"Arthropoda","Insecta","Mecoptera",184,0,46037,104
"Arthropoda","Malacostraca","Cumacea",59,0,163,22
"Annelida","Clitellata","Arhynchobdellida",213,0,1992,24
"Acanthocephala","Archiacanthocephala","Moniliformida",2,0,15,0
"Rhombozoa",NA,"Dicyemida",49,0,249,27
"Bryozoa","Gymnolaemata","Cheilostomatida",267,0,2534,2
"Chordata","Mammalia","Rodentia",2667,30,7814817,2942072
"Chordata","Mammalia","Lagomorpha",129,2,2542550,330965
"Chordata","Mammalia","Pholidota",26,2,164618,75
"Chordata","Mammalia","Tubulidentata",1,1,426990,22
"Chordata","Mammalia","Hyracoidea",6,1,32098,47
"Chordata","Mammalia","Perissodactyla",113,4,405845,66525
"Chordata","Mammalia","Proboscidea",22,1,40779,2495
"Chordata","Mammalia","Sirenia",6,1,186573,314
"Chordata","Mammalia","Cetacea",143,7,750299,8102
"Chordata","Mammalia","Primates",542,28,19375923,16633492
"Chordata","Mammalia","Chiroptera",1565,14,2139824,8358
"Chordata","Mammalia","Scandentia",28,2,195044,1128
"Chordata","Mammalia","Insectivora",474,3,612310,4746
"Chordata","Mammalia","Monotremata",5,1,279205,651
