"phylum","class","order","spp","genomes","sequences","papers"
"Nematoda","Enoplea","Trichocephalida",296,13,98669,6
"Nematoda","Chromadorea","Tylenchida",2295,13,104779,1237
"Nematoda","Chromadorea","Spirurida",479,13,381217,12797
"Nematoda","Chromadorea","Ascaridida",576,5,257901,8724
"Nematoda","Chromadorea","Rhabditida",2258,36,1008995,22825
"Nemertea","Enopla","Monostilifera",236,0,2556,7
"Nemertea","Anopla","Heteronemertea",204,0,2125,23
"Platyhelminthes","Cestoda","Cyclophyllidea",442,12,190796,271
"Platyhelminthes","Trematoda","Opisthorchiida",208,2,136153,5
"Platyhelminthes","Trematoda","Strigeidida",918,8,537266,3
"Platyhelminthes",NA,"Lecithoepitheliata",30,0,84,11
"Platyhelminthes",NA,"Polycladida",126,0,389,30
"Platyhelminthes",NA,"Tricladida",385,3,442377,113
"Cnidaria","Scyphozoa","Semaeostomeae",156,0,254603,5
"Cnidaria","Anthozoa","Pennatulacea",74,1,302,14
"Cnidaria","Anthozoa","Scleractinia",1346,3,733076,187
"Cnidaria","Anthozoa","Actiniaria",322,2,851547,1563
"Porifera","Demospongiae","Haplosclerida",320,1,55086,49
